TS                       Open     High      Low    Close Bias       BullFVG BearFVG BullIFVG BearIFVG
2025-12-02T01:00:00+00:00 25408.50 25408.50 25401.25 25403.75 Bearish          3       3        4        5
2025-12-02T01:01:00+00:00 25403.25 25409.75 25403.00 25408.00 Bullish          3       4        4        4
2025-12-02T01:02:00+00:00 25657.75 25657.75 25657.25 25657.25 Bullish          4       4        4        3
2025-12-02T01:03:00+00:00 25404.00 25408.25 25404.00 25406.75 Bearish          3       4        4        4
2025-12-02T01:04:00+00:00 25408.00 25413.00 25407.50 25411.25 Bullish          3       5        4        4
2025-12-02T01:05:00+00:00 25411.00 25416.25 25408.00 25416.25 Bullish          3       5        4        4
2025-12-02T01:06:00+00:00 25415.50 25443.50 25414.75 25441.25 Bullish          4       5        4        4
2025-12-02T01:07:00+00:00 25442.75 25443.50 25430.50 25432.00 Bullish          5       5        4        4
2025-12-02T01:08:00+00:00 25432.50 25432.50 25423.00 25427.75 Bearish          5       5        4        4
2025-12-02T01:09:00+00:00 25680.00 25680.00 25677.00 25679.25 Bullish          6       0        9        0
2025-12-02T01:10:00+00:00 25432.75 25438.75 25429.75 25435.25 Bearish          5       0        8        1
2025-12-02T01:11:00+00:00 25435.00 25440.25 25432.75 25435.25 Bearish          5       1        8        1
2025-12-02T01:12:00+00:00 25435.50 25439.75 25434.25 25435.00 Bearish          5       1        8        1
2025-12-02T01:13:00+00:00 25434.50 25436.00 25428.75 25432.75 Bearish          5       1        8        1
2025-12-02T01:14:00+00:00 25434.00 25437.00 25432.00 25435.00 Bearish          5       1        8        1
2025-12-02T01:15:00+00:00 25433.00 25437.25 25431.75 25435.75 Bearish          5       1        8        1
2025-12-02T01:16:00+00:00 25435.00 25442.50 25435.00 25442.00 Bullish          5       1        8        1
2025-12-02T01:17:00+00:00 25441.75 25444.75 25438.25 25440.50 Bullish          6       1        8        1
2025-12-02T01:18:00+00:00 25440.00 25441.50 25437.50 25438.50 Bullish          6       1        8        1
