ts_utc,open,high,low,close,bias_str,bias_code
2024-01-02T00:00:00+00:00,17029.75,17030.75,17027.5,17028.0,Neutral,0
2024-01-02T00:01:00+00:00,17028.5,17030.25,17027.75,17028.0,Neutral,0
2024-01-02T00:02:00+00:00,17028.0,17028.5,17028.0,17028.25,Neutral,0
2024-01-02T00:03:00+00:00,17028.0,17029.75,17028.0,17029.25,Bullish,1
2024-01-02T00:04:00+00:00,17029.5,17029.5,17029.25,17029.5,Bullish,1
2024-01-02T00:05:00+00:00,17029.25,17029.75,17028.25,17028.25,Bearish,-1
2024-01-02T00:06:00+00:00,17028.25,17028.5,17027.25,17028.0,Bearish,-1
2024-01-02T00:07:00+00:00,17028.0,17029.0,17027.75,17028.0,Bearish,-1
2024-01-02T00:08:00+00:00,17028.5,17028.75,17028.0,17028.5,Bearish,-1
2024-01-02T00:09:00+00:00,17028.5,17029.5,17028.25,17029.25,Bullish,1
2024-01-02T00:10:00+00:00,17029.25,17029.5,17028.25,17029.0,Bullish,1
2024-01-02T00:11:00+00:00,17028.75,17028.75,17028.25,17028.5,Bullish,1
2024-01-02T00:12:00+00:00,17028.5,17029.25,17027.25,17027.25,Bearish,-1
2024-01-02T00:13:00+00:00,17027.75,17028.0,17026.75,17027.0,Bearish,-1
2024-01-02T00:14:00+00:00,17027.5,17028.0,17027.25,17027.75,Bearish,-1
2024-01-02T00:15:00+00:00,17027.5,17028.5,17027.0,17027.5,Bearish,-1
2024-01-02T00:16:00+00:00,17027.5,17028.0,17027.25,17027.25,Bearish,-1
2024-01-02T00:17:00+00:00,17027.5,17028.0,17026.75,17026.75,Bearish,-1
2024-01-02T00:18:00+00:00,17027.0,17027.0,17026.5,17026.5,Bearish,-1
2024-01-02T00:19:00+00:00,17026.0,17026.25,17025.25,17025.5,Bearish,-1
2024-01-02T00:20:00+00:00,17025.75,17026.0,17024.5,17025.5,Bearish,-1
2024-01-02T00:21:00+00:00,17025.5,17025.75,17024.5,17024.5,Bearish,-1
2024-01-02T00:22:00+00:00,17025.0,17025.5,17024.25,17024.75,Bearish,-1
2024-01-02T00:23:00+00:00,17025.25,17025.5,17023.75,17024.0,Bearish,-1
2024-01-02T00:24:00+00:00,17024.0,17025.5,17024.0,17025.25,Bearish,-1
2024-01-02T00:25:00+00:00,17025.0,17025.5,17024.75,17024.75,Bearish,-1
2024-01-02T00:26:00+00:00,17025.0,17025.25,17022.5,17022.75,Bearish,-1
2024-01-02T00:27:00+00:00,17022.5,17022.75,17020.75,17021.0,Bearish,-1
2024-01-02T00:28:00+00:00,17021.5,17021.75,17020.25,17020.5,Bearish,-1
2024-01-02T00:29:00+00:00,17020.75,17020.75,17018.5,17019.75,Bearish,-1
2024-01-02T00:30:00+00:00,17020.0,17020.0,17018.75,17019.25,Bearish,-1
2024-01-02T00:31:00+00:00,17019.0,17019.75,17018.5,17019.25,Bearish,-1
2024-01-02T00:32:00+00:00,17019.25,17020.0,17019.25,17019.75,Bearish,-1
2024-01-02T00:33:00+00:00,17019.75,17022.0,17019.5,17021.75,Bullish,1
2024-01-02T00:34:00+00:00,17021.75,17022.75,17021.75,17022.75,Bullish,1
2024-01-02T00:35:00+00:00,17022.75,17024.75,17022.75,17024.75,Bullish,1
2024-01-02T00:36:00+00:00,17024.75,17025.0,17024.25,17024.75,Bullish,1
2024-01-02T00:37:00+00:00,17024.5,17026.25,17024.5,17026.0,Bullish,1
2024-01-02T00:38:00+00:00,17025.75,17027.25,17025.75,17027.0,Bullish,1
2024-01-02T00:39:00+00:00,17026.75,17027.5,17026.25,17026.75,Bullish,1
2024-01-02T00:40:00+00:00,17027.25,17027.25,17027.0,17027.25,Bullish,1
2024-01-02T00:41:00+00:00,17027.0,17027.0,17023.75,17024.0,Bearish,-1
2024-01-02T00:42:00+00:00,17023.75,17024.5,17023.75,17024.5,Bearish,-1
2024-01-02T00:43:00+00:00,17024.75,17025.5,17024.5,17025.25,Bullish,1
2024-01-02T00:44:00+00:00,17025.5,17026.25,17025.0,17026.0,Bullish,1
2024-01-02T00:45:00+00:00,17026.25,17026.75,17024.75,17025.25,Bullish,1
2024-01-02T00:46:00+00:00,17025.5,17026.0,17025.0,17026.0,Bullish,1
2024-01-02T00:47:00+00:00,17026.0,17026.0,17024.5,17024.75,Bearish,-1
